url,image_url,brand,product,add_info,price_value,price_currency,discount_value,discount_code,country,retailer,scraped_at
https://www.notino.co.uk/meridol/meridol-anti-bleeding-toothpaste/,https://cdn.notinoimg.com/list_2k//meridol/8718951459885_01-o__220524.jpg,Meridol,Gum Protection,toothpaste supporting regeneration of irritated gums,2.4,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/elmex/sensitive-paste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//elmex/7610108059249_11-o__150518.jpg,Elmex,Sensitive,paste for sensitive teeth,3.9,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/biorepair/intensive-night-repair-night-care/,https://cdn.notinoimg.com/list_2k//biorepair/8017331064092_01-o__130724.jpg,Biorepair,Advanced Intensive Night,intense overnight treatment to restore dental enamel,4.7,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/elmex/caries-protection-kids-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//elmex/7610108056354_01-o__230215.jpg,Elmex,Caries Protection Kids,toothpaste for children,3.1,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/elmex/sensitive-plus-cosmetic-set-i/,https://cdn.notinoimg.com/list_2k//elmex/8714789994208_01-o__240223.jpg,Elmex,Sensitive,dental care set (for sensitive teeth),7.8,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/marvis/jasmin-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111756_01-o__171120.jpg,Marvis,The Mints Jasmin,toothpaste,3.3,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/colgate/natural-extract-ultimate-fresh-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/8718951131644_01-o__221128.jpg,Colgate,Natural Extracts Ultimate Fresh,toothpaste,2.6,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/biorepair/junior-toothpaste-for-kids/,https://cdn.notinoimg.com/list_2k//biorepair/8017331035634_01-o__130828.jpg,Biorepair,Kids 0-6,toothpaste for children to restore dental enamel Strawberry 50 ml,2.6,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/parodontax/whitening-whitening-toothpaste-for-bleeding-gums/,https://cdn.notinoimg.com/list_2k//parodontax/5999518582175_01-o__140428.jpg,Parodontax,Whitening,whitening toothpaste for bleeding gums,4.5,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/elmex/junior-6-12-years-toothpaste-for-children-73188/,https://cdn.notinoimg.com/list_2k//elmex/9003096004991_01-o__140313.jpg,Elmex,Junior 6-12 Years,toothpaste for children,3.1,£,,,uk,notino,2024-05-22 11:37:35.087116
